rowNo,type,condition1,trialNo,stim1,accuracy,stimFormat,stimSize,ITI,presTime,random,responseType,responseOptions,ITI_ms,ITI_f,ITI_fDuration,presTime_ms,presTime_f,presTime_fDuration,timestamp,response,RT,participant,early_late_acquisition,proficiency_self_rated,current_exposure
3,test,congruent_eng,1,apple_APPLE,1,.jpg,400 400,800,2000,1,mic,save,799,48,16.65,1959,117,16.67,69625,mic,844,1234,early,6,5
4,test,congruent_span,2,apple_MANZANA,1,.jpg,400 400,800,2000,1,mic,save,800,48,16.67,1923,115,16.66,48789,mic,809,1234,early,6,5
5,test,incongruent_eng,3,apple_MEAT,1,.jpg,400 400,800,2000,1,mic,save,799,48,16.65,1958,117,16.68,80708,mic,844,1234,early,6,5
6,test,incongruent_span,4,apple_QUESO,1,.jpg,400 400,800,2000,1,mic,save,799,48,16.65,1985,118,16.68,136084,mic,871,1234,early,6,5
7,test,congruent_eng,5,bird_BIRD,1,.jpg,,800,2000,1,mic,save,800,48,16.67,1919,114,16.67,133317,mic,803,1234,early,6,5
8,test,incongruent_eng,6,bird_DOG,1,.jpg,,800,2000,1,mic,save,800,48,16.67,2000,120,16.67,119389,mic,1275,1234,early,6,5
9,test,congruent_span,7,bird_PAJARO,1,.jpg,,800,2000,1,mic,save,800,48,16.67,2001,120,16.68,86607,mic,1360,1234,early,6,5
10,test,incongruent_span,8,bird_PERRO,1,.jpg,,800,2000,1,mic,save,801,48,16.69,1847,110,16.66,141532,mic,734,1234,early,6,5
11,test,congruent_eng,9,cat-CAT,1,.png,400 500,800,2000,1,mic,save,801,48,16.69,1929,115,16.66,130613,mic,815,1234,early,6,5
12,test,incongruent_eng,10,cat_DOG,1,.png,400 500,800,2000,1,mic,save,800,48,16.67,2000,120,16.67,124885,mic,920,1234,early,6,5
13,test,incongruent_span,11,cat_PERRO,1,.png,400 500,800,2000,1,mic,save,800,48,16.67,2000,120,16.67,93061,mic,1164,1234,early,6,5
14,test,congruent_span,12,cat_GATO,1,.png,400 500,800,2000,1,mic,save,800,48,16.67,2000,120,16.67,75393,mic,946,1234,early,6,5
15,test,incongruent_eng,13,cheese_APPLE,1,.jpg,,800,2000,1,mic,save,800,48,16.67,1999,120,16.66,57073,mic,941,1234,early,6,5
16,test,congruent_eng,14,cheese_CHEESE,1,.jpg,,800,2000,1,mic,save,800,48,16.67,2000,120,16.67,138896,mic,915,1234,early,6,5
17,test,incongruent_span,15,cheese_MANZANA,1,.jpg,,800,2000,1,mic,save,800,48,16.67,1943,116,16.67,43243,mic,829,1234,early,6,5
18,test,congruent_span,16,cheese_QUESO,1,.jpg,,800,2000,1,mic,save,799,48,16.65,2000,120,16.67,46073,mic,926,1234,early,6,5
19,test,congruent_eng,17,cow_COW,1,.jpg,500 400,800,2000,1,mic,save,800,47,17.02,2000,119,16.81,104864,mic,1501,1234,early,6,5
20,test,incongruent_eng,18,cow_BIRD,1,.jpg,500 400,800,2000,1,mic,save,800,48,16.67,2000,119,16.81,101465,mic,1218,1234,early,6,5
21,test,congruent_span,19,cow_VACA,1,.jpg,500 400,800,2000,1,mic,save,800,48,16.67,2000,119,16.81,90001,mic,1487,1234,early,6,5
22,test,incongruent_span,20,cow_PAJARO,1,.jpg,500 400,800,2000,1,mic,save,800,48,16.67,2000,119,16.81,63324,mic,1627,1234,early,6,5
23,test,congruent_eng,21,dog_DOG,1,.png,500 500,800,2000,1,mic,save,800,48,16.67,1855,110,16.82,152276,mic,745,1234,early,6,5
24,test,congruent_span,22,dog_PERRO,1,.png,500 500,800,2000,1,mic,save,799,48,16.65,1957,114,17.11,40508,mic,844,1234,early,6,5
25,test,incongruent_eng,23,dog_CAT,0,.png,500 500,800,2000,1,mic,save,800,48,16.67,2000,120,16.67,116206,mic,1009,1234,early,6,5
26,test,incongruent_span,24,dog_GATO,1,.png,500 500,800,2000,1,mic,save,800,48,16.67,1946,116,16.67,54229,mic,832,1234,early,6,5
27,test,congruent_eng,25,eye_EYE,1,.jpg,500 500,800,2000,1,mic,save,800,48,16.67,1796,107,16.66,144112,mic,681,1234,early,6,5
28,test,congruent_span,26,eye_OJO,1,.jpg,500 500,800,2000,1,mic,save,801,48,16.69,1918,114,16.67,149636,mic,805,1234,early,6,5
29,test,incongruent_span,27,eye_MANO,1,.jpg,500 500,800,2000,1,mic,save,799,48,16.65,1876,112,16.68,37755,mic,755,1234,early,6,5
30,test,incongruent_eng,28,eye_HAND,1,.jpg,500 500,800,2000,1,mic,save,801,48,16.69,2000,120,16.67,66884,mic,1651,1234,early,6,5
31,test,congruent_eng,29,hand_HAND,1,.jpg,450 450,800,2000,1,mic,save,800,48,16.67,1850,110,16.66,83350,mic,736,1234,early,6,5
32,test,congruent_span,30,hand_MANO,1,.jpg,450 450,800,2000,1,mic,save,799,48,16.65,1777,106,16.67,98342,mic,662,1234,early,6,5
33,test,incongruent_span,31,hand_BOCA,1,.jpg,450 450,800,2000,1,mic,save,800,48,16.67,1936,115,16.67,95785,mic,821,1234,early,6,5
34,test,incongruent_eng,32,hand_MOUTH,0,.jpg,450 450,800,2000,1,mic,save,800,47,17.02,1798,104,17.14,160636,mic,689,1234,early,6,5
35,test,congruent_eng,33,mouth_MOUTH,1,.png,600 600,800,2000,1,mic,save,800,48,16.67,1775,106,16.67,77957,mic,660,1234,early,6,5
36,test,congruent_span,34,mouth_BOCA,1,.png,600 600,800,2000,1,mic,save,799,48,16.65,1874,112,16.67,122057,mic,759,1234,early,6,5
