condition1,trialNo,stim1,accuracy,RT,participant,early_late_acquisition,language,congruency
congruent_eng,1,apple_APPLE,1,933,2516,early,eng,cong
congruent_span,2,apple_MANZANA,1,1414,2516,early,span,cong
incongruent_eng,3,apple_MEAT,1,1344,2516,early,eng,incong
incongruent_span,4,apple_QUESO,1,1004,2516,early,span,incong
congruent_eng,5,bird_BIRD,1,875,2516,early,eng,cong
incongruent_eng,6,bird_DOG,0,25060,2516,early,eng,incong
congruent_span,7,bird_PAJARO,1,1009,2516,early,span,cong
incongruent_span,8,bird_PERRO,1,1020,2516,early,span,incong
congruent_eng,9,cat-CAT,1,967,2516,early,eng,cong
incongruent_eng,10,cat_DOG,1,1200,2516,early,eng,incong
incongruent_span,11,cat_PERRO,1,928,2516,early,span,incong
congruent_span,12,cat_GATO,1,906,2516,early,span,cong
incongruent_eng,13,cheese_APPLE,1,1348,2516,early,eng,incong
congruent_eng,14,cheese_CHEESE,1,1039,2516,early,eng,cong
incongruent_span,15,cheese_MANZANA,1,897,2516,early,span,incong
congruent_span,16,cheese_QUESO,1,978,2516,early,span,cong
congruent_eng,17,cow_COW,1,890,2516,early,eng,cong
incongruent_eng,18,cow_BIRD,1,1048,2516,early,eng,incong
congruent_span,19,cow_VACA,1,920,2516,early,span,cong
incongruent_span,20,cow_PAJARO,1,1128,2516,early,span,incong
congruent_eng,21,dog_DOG,1,920,2516,early,eng,cong
congruent_span,22,dog_PERRO,1,879,2516,early,span,cong
incongruent_eng,23,dog_CAT,1,879,2516,early,eng,incong
incongruent_span,24,dog_GATO,1,1152,2516,early,span,incong
congruent_eng,25,eye_EYE,1,837,2516,early,eng,cong
congruent_span,26,eye_OJO,1,1160,2516,early,span,cong
incongruent_span,27,eye_MANO,1,974,2516,early,span,incong
incongruent_eng,28,eye_HAND,1,1103,2516,early,eng,incong
congruent_eng,29,hand_HAND,1,824,2516,early,eng,cong
congruent_span,30,hand_MANO,1,1998,2516,early,span,cong
incongruent_span,31,hand_BOCA,1,1020,2516,early,span,incong
incongruent_eng,32,hand_MOUTH,1,1099,2516,early,eng,incong
congruent_eng,33,mouth_MOUTH,1,884,2516,early,eng,cong
congruent_span,34,mouth_BOCA,1,949,2516,early,span,cong
incongruent_span,35,mouth_NARIZ,1,895,2516,early,span,incong
incongruent_eng,36,mouth_NOSE,1,833,2516,early,eng,incong
congruent_eng,37,nose_NOSE,1,736,2516,early,eng,cong
congruent_span,38,nose_NARIZ,1,970,2516,early,span,cong
incongruent_eng,39,nose_HAND,1,918,2516,early,eng,incong
incongruent_span,40,nose_MANO,1,830,2516,early,span,incong
incongruent_span,41,strawberry_CARNE,1,5742,2516,early,span,incong
incongruent_eng,42,strawberry_CHEESE,1,934,2516,early,eng,incong
congruent_eng,43,strawberry_STRAWBERRY,1,1245,2516,early,eng,cong
congruent_span,44,strawberry_FRESA,1,861,2516,early,span,cong
congruent_eng,1,apple_APPLE,1,776,1827,early,eng,cong
congruent_span,2,apple_MANZANA,1,995,1827,early,span,cong
incongruent_eng,3,apple_MEAT,1,743,1827,early,eng,incong
incongruent_span,4,apple_QUESO,1,781,1827,early,span,incong
congruent_eng,5,bird_BIRD,1,694,1827,early,eng,cong
incongruent_eng,6,bird_DOG,1,1013,1827,early,eng,incong
congruent_span,7,bird_PAJARO,1,869,1827,early,span,cong
incongruent_span,8,bird_PERRO,1,880,1827,early,span,incong
congruent_eng,9,cat-CAT,1,757,1827,early,eng,cong
incongruent_eng,10,cat_DOG,1,951,1827,early,eng,incong
incongruent_span,11,cat_PERRO,1,835,1827,early,span,incong
congruent_span,12,cat_GATO,1,732,1827,early,span,cong
incongruent_eng,13,cheese_APPLE,1,1324,1827,early,eng,incong
congruent_eng,14,cheese_CHEESE,1,834,1827,early,eng,cong
incongruent_span,15,cheese_MANZANA,1,811,1827,early,span,incong
congruent_span,16,cheese_QUESO,1,797,1827,early,span,cong
congruent_eng,17,cow_COW,1,1094,1827,early,eng,cong
incongruent_eng,18,cow_BIRD,1,933,1827,early,eng,incong
congruent_span,19,cow_VACA,1,1293,1827,early,span,cong
incongruent_span,20,cow_PAJARO,1,955,1827,early,span,incong
congruent_eng,21,dog_DOG,1,727,1827,early,eng,cong
congruent_span,22,dog_PERRO,1,636,1827,early,span,cong
incongruent_eng,23,dog_CAT,1,717,1827,early,eng,incong
incongruent_span,24,dog_GATO,1,1134,1827,early,span,incong
congruent_eng,25,eye_EYE,1,699,1827,early,eng,cong
congruent_span,26,eye_OJO,1,967,1827,early,span,cong
